label,text,label_encoded
spam,free entry weekly comp chance win ipod txt pod get entry std txt rate tcs apply details,1
ham,pls give food preferably pap slowly loads sugar take hour give water slowly,0
ham,efficient gee thanx,0
ham,wont call disturb one know avoiding burden,0
ham,much willing pay,0
ham,talk,0
spam,secret admirer reveal thinks special call opt reply reveal stop per msg recd cust care,1
ham,nothing got msg frm tht unknown,0
ham,sorry got late start way,0
ham,auntie huai juan never pick phone,0
ham,hope said would text hasnt seen let gently please,0
spam,free top polyphonic tones call national rate get toppoly tune sent every week text subpoly per pole unsub,1
ham,friend got says hes upping order grams hes got ltgt get,0
ham,sun anti sleep medicine,0
ham,lmao fun,0
ham,first time use type words,0
ham,baskets gettin full might tonight,0
ham,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning,0
ham,norm tomorrow finish cos tests need sort library stuff point tomo got letter today access til end march better get move,0
ham,time come tomorrow,0
ham,okay lor wah like def wont let haha say terms conditions,0
ham,yes chatting,0
ham,spend days waiting ideal path appear front forget paths made walking waiting goodnight,0
ham,ltgt fast approaching wish happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday happy ganesh festival happy dasara happy diwali happy christmas ltgt good mornings afternoons evenings nights rememberi first wishing theseyours raj,0
ham,need campus atm could pick hour two,0
ham,gentleman treat dignity respect,0
ham,lara said loan ltgt,0
spam,get brand new mobile phone agent mob plus loads goodies info text mat,1
ham,convey regards,0
ham,yijue meet tmr,0
ham,jesus christ bitch trying give drugs answer fucking phone,0
ham,jon pete ive bin spain recently hav sum dinero left bill said rents mayb interested hav pes around james,0
ham,chase run shes crossing street,0
ham,catch bus frying egg make tea eating moms left dinner feel love,0
ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,0
ham,right meanwhile hows project twins comin,0
ham,much buzy,0
ham,hungry buy smth home,0
ham,hey anyway,0
ham,kgive back thanks,0
ham,honey sweetheart darling sexy buns sugar plum loverboy miss boytoy smacks ass gym,0
ham,wif family booking tour package,0
ham,gud dearslp welltake careswt dreamsmuah,0
ham,cant speak bcaz mobile problem listen cannt listen voice calls later,0
ham,lol great getting hungry,0
ham,wot wed nite til,0
ham,dont know come ask questions like dont mistake,0
spam,nokia get win free auction take part send nokia hgsuitelands rowwjhl,1
ham,training tomorrow,0
ham,normal pilates intro,0
ham,cooking dinner,0
ham,checking really miss seeing jeremiah great month,0
ham,nothis kallis home groundamla home town durban,0
ham,mean come chase stated watch many movies want,0
ham,youre done mean,0
ham,wondering right,0
spam,important customer service announcement premier,1
ham,hello thanx taking call got job starts monday,0
ham,small problem auctionpunj asking tiwary,0
ham,gon pick burger way home cant even move pain killing,0
ham,calls later afternoon onwords mtnl service get problem south mumbai hear cannt listen,0
ham,still looking car buy gone driving test yet,0
ham,awesome gon soon later tonight,0
ham,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,0
ham,responding,0
ham,lor,0
ham,lmao wont needing hair anymore,0
ham,exactly anyways far jide study visiting,0
ham,happy birthday youdearwith lots loverakhesh nri,0
ham,nope ill going sch fri quite early lor cos mys sis got paper morn,0
ham,love cuddle want hold strong arms right,0
ham,well join ltgt bus,0
ham,good afternoon love goes day sleep hope well boytoy think,0
ham,see message leaving congrats dear school wat plans,0
ham,trying figure suppose see couple different people week said wed get together didnt set dates,0
ham,honey boo missing,0
spam,urgent important information user today lucky day find log onto fantastic surprise awaiting,1
ham,still checked,0
ham,grandmas dear still ill felt shit morning think hungover another night leave sat,0
ham,baby cruisin girl friend give call hour home thats alright fone fone love jenny xxx,0
ham,guy kinda flaky one friend interested picking ltgt worth tonight possible,0
ham,nice new shirts thing wear nudist themed,0
ham,makes sense btw carlos difficult guys gon smoke pick second batch get gas,0
ham,wow didnt think common take back freak unless chop,0
ham,sfrom training manual show tech processits password reset troubleshooting,0
spam,free polyphonic ringtone text super get free poly tone week pobox subscription,1
ham,waiting call sir,0
spam,wan laugh try chitchat mobile logon txting word chat send box london pmsg rcvd,1
ham,need person give,0
ham,pls help tell sura expecting battery hont pls send message download movies thanks,0
ham,wont ard christmas enjoy merry xmas,0
ham,life spend someone lifetime may meaningless moments spent someone really love means life,0
ham,hard believe things like say lie think twice saying anything,0
ham,dearme cherthalain case coming cochin pls call bfore starti shall also reach accordinglyor tell day comingtmorow engaged ans holiday,0
ham,dear friends sorry late information today birthday loving arpraveesh details log face book see number ltgt dont miss delicious treat,0
spam,subscribed textcomp wkly comp wks free question follows subsequent wks unsubscribe txt stop custcare,1
spam,filthy stories girls waiting,1
ham,either way works ltgt years old hope doesnt bother,0
ham,want kfc tuesday buy meals gravy mark,0
ham,rofl true name,0
ham,whatever pretty pissed,0
ham,wot bitch,0
ham,probably money worries things coming due several outstanding invoices work two three months ago,0
spam,well done costa del sol holiday await collection call toclaim sae tcs pobox stockport skxh costpm maxmins,1
ham,,0
ham,cant take major roles community outreach rock mel,0
ham,busy juz dun wan early hee,0
ham,hey feeling better hopeso hunny amnow feelin ill ithink may tonsolitusaswell damn iam layin bedreal bored lotsof luv xxxx,0
ham,finish already yar keep saying mushy embarrassed,0
spam,please call customer service representative freephone ampm guaranteed cash prize,1
ham,ltgt ish minutes minutes ago wtf,0
ham,sad story man last week bday wife didnt wish parents forgot kids went work even colleagues wish,0
ham,possession especially first offense,0
ham,jason says cool pick place like hour,0
ham,missionary hook doggy hook standing,0
ham,wen lovable bcums angry wid dnt take seriously coz angry childish true way showing deep affection care luv kettoda manda nice day,0
ham,okay soon best,0
ham,yar say got error,0
ham,really hows masters,0
ham,said kiss kiss cant sound effects gorgeous man isnt kind person needs smile brighten day,0
spam,win year supply cds store choice worth enter weekly draw txt music tscs,1
ham,get cash together ill text jason,0
ham,taka lor wat time wan come look,0
ham,infact happy new year seeing,0
ham,whatsup dont want sleep,0
ham,juz google search qet,0
ham,please leave topicsorry telling,0
ham,help swoop picking wherever birds meeting want,0
spam,like tell deepest darkest fantasies call pmin stop texts call nat rate,1
ham,esplanade mind giving lift cos got car today,0
spam,send logo lover names joined heart txt love name name mobno love adam eve yahoo poboxwwq txtno ads,1
ham,bluray player,0
ham,sis lor juz watched italian job,0
ham,take something pain moves however side next hrs see doctor,0
ham,anything valuable situations first getting second loosing,0
ham,tee hee lecture cheery bye bye,0
ham,shit thought trip loooooool makes much sense grins sofa reference sleep couch link sent wasnt went trip didnt babe celebration rents,0
ham,telly brdget jones,0
ham,tomarrow want got court ltdecimalgt come bus stand,0
ham,meeting call later,0
ham,received understood acted upon,0
ham,need coffee run tomocant believe time week already,0
ham,decide faster cos sis going home liao,0
ham,hows feel real valentine valentine even tho hardly play,0
ham,thank god bed,0
spam,loans purpose even bad credit tenants welcome call noworriesloanscom,1
ham,fix teethif asapok take care,0
ham,got fujitsu ibm toshiba got lot model say,0
ham,didnt get anything,0
ham,nah dub still buff,0
spam,win cash prize prize worth,1
ham,accidentally deleted message resend please,0
ham,called one pick phone ask already said,0
ham,please call mistake side sorry pls goto doctor,0
ham,two letters copy cos one message speak soon,0
ham,doin baby girl hope okay every time call ure phone miss get touch,0
ham,evo download flash jealous,0
spam,adult content video shortly,1
ham,yeah probably swing roommate finishes girl,0
spam,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptoutfq,1
ham,hey free call,0
ham,prashanthettans mother passed away last night pray family,0
ham,hmmm imagine youve come home rub feet make dinner help get ready date sure ready kind life,0
ham,nothing splwat abt whr,0
ham,guess useless calling something important,0
ham,wonders world style smile personality nature sms lovely friendship good morning dear,0
ham,tiime dont let hug dont break tears,0
ham,says get ass back south tampa preferably kegger,0
ham,thinking chuckin red green black trainners save carryin bac train,0
ham,okey dokey ill bit sorting stuff,0
ham,hai priya right doctor said,0
ham,howz painhope fine,0
ham,guys asking get slippers gone last year,0
ham,yeah thats fine get,0
ham,well gon finish bath goodfine night,0
ham,wasnt well babe swollen glands throat end,0
spam,dont know dont know send chat lets find pmsg rcvd hgsuitelandsrowwjhl ldn years,1
ham,ill sure get noon see whats,0
ham,cutest girl world,0
spam,urgent mobile number bonus caller prize attempt reach call asap box nqp ppm,1
ham,well done blimey exercise yeah kinda remember wot hmm,0
ham,guys leaving,0
ham,asking knw may frnds classmates,0
ham,,0
spam,warner village colin farrell swat wkend warner village get free med popcornjust show kiosk reply sony mre film offers,1
ham,wereare free give otherwise nalla adi entey nattil kittum,0
ham,good good playerwhy unsold,0
ham,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,0
ham,probably ltgt,0
ham,baby house come dont new pictures facebook,0
ham,jus ans lar ull noe later,0
ham,promises though havent even gotten dinner yet,0
ham,dunno lei thk mum lazy neva ask yet,0
ham,take care get well soon,0
ham,ive got ten bucks jay noncomittal,0
ham,great ill disturb talk,0
ham,call unable cal lets meet bhaskar deep,0
ham,cant pick phone right pls send message,0
ham,put party days week study lightly think need draw custom checkboxes know hardcore,0
ham,sfine anytime best,0
ham,size elephant tablets shove ass,0
spam,bank granite issues strongbuy explosive pick members nasdaq symbol cdgt per,1
ham,thk find wtc far weiyi goin rest dunno yet goin dinner den might able join,0
ham,well confuses things doesnt thought friends maybe wrong thing already sort invited tho may come cos money,0
ham,good weekend,0
ham,yeahand hav great time newquaysend postcard look girls goneu know talkin boutxx,0
ham,fyi usf swing room whenever,0
spam,missed call alert numbers called left message,1
ham,aiyar poor thing give support jia ill think,0
spam,time tried contact pound prize claim easy call per min btnationalrate,1
ham,send email mind ltgt times per night,0
spam,ever notice youre driving anyone going slower idiot everyone driving faster maniac,1
ham,,0
ham,picked receipt something earlier,0
ham,okie scared say fat dun wan already,0
ham,yeah open chat click friend lists make list easy pie,0
spam,sunshine quiz wkly win top sony dvd player know country algarve txt ansr sptyrone,1
ham,kkhow sister kids,0
spam,tried call reply sms video mobile mins unlimited text free camcorder reply call,1
ham,time coming,0
ham,lol would despite cramps like girl,0
ham,cps causing outages conserve energy,0
spam,send logo lover names joined heart txt love name name mobno love adam eve yahoo poboxwwq txtno ads,1
spam,winner specially selected receive cash award speak live operator claim call ampm cost,1
ham,carlos pick ill swing usf little bit,0
ham,shall book chez jules half eight thats,0
spam,boltblue tones reply poly mono poly cha cha slide yeah slow jamz toxic come stop tones txt,1
ham,got called tool,0
ham,mean confirmed tot juz say oni,0
ham,computer fried essential part dont keep spares fucking idiot roommates looovvve leaving thing running full ltgt,0
ham,got new year cos yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended,0
ham,horrible eat macs eat forgot abt already rite take long reply thk toot prepared wat shall eat,0
ham,guys ever figure much need alcohol jay trying figure much safely spend weed,0
ham,sorry man stash ran dry last night cant pick sunday,0
ham,easy ahsen got selected means good,0
ham,dont want hear anything,0
ham,enjoy watching playing football basketball anything outdoors,0
spam,premium phone services call,1
ham,kkgoodstudy well,0
ham,get step outta way congrats,0
ham,kkhow training process,0
ham,dnt worryuse ice pieces cloth packalso take tablets,0
spam,free message activate free text messages replying message word free terms conditions visit,1
ham,great hear settling well whats happenin wit ola,0
ham,good afternoon love goes day woke early online waiting hmmm italian boy online see grins,0
ham,sounds like plan cardiff still still cold sitting radiator,0
ham,roger probably going rem,0
ham,prob,0
ham,dear angry busy dear,0
ham,baaaaabe misss youuuuu teach class,0
ham,leave start prepare next,0
ham,hows favourite person today workin hard couldnt sleep last nite nearly rang,0
ham,home please call,0
ham,fuuuuck need stop sleepin sup,0
spam,eastenders quiz flower dot compare violet tulip lily txt chance win cash wkentp,1
ham,,0
ham,anything lor toa payoh got place walk meh,0
ham,show wot say could dust,0
ham,someone smoke every time ive smoked last two weeks calling texting wanted smoke,0
spam,want new nokia colour phone delivered tomorrow free minutes mobile free text free camcorder reply call,1
ham,leave need ask,0
ham,head straight,0
ham,like think theres always possibility pub later,0
ham,storming msg wen lift phne say hello knw real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moralone get name person girlfrnd,0
ham,ask iouri ive told story like ten times already,0
ham,wan come dinner tonight,0
ham,done oredi,0
ham,wats model num phone,0
ham,yup giving problems mayb ill jus leave,0
ham,exam february wish great day,0
spam,sms blind date rodds aberdeen united kingdom check sms acwicmbcktzr blind dates send hide,1
ham,wat makes thk ill fall actually thk quite prone falls lucky dad home ask come fetch already,0
ham,sos amount get pls,0
ham,cant pick phone right pls send message,0
ham,please give pick tuesday evening,0
ham,printer cool mean groovy wine groovying,0
ham,ill meet library,0
ham,running managed minutes needed oxygen might resort roller option,0
ham,pls make note shes exposed also find school anyone else vomiting dog cat house let know later,0
ham,depends going lor,0
ham,open rebtel firefox loads put plus sign user name place show two numbers lower number number pick number pin display okay,0
ham,hope day good back walk table booked half eight let know coming,0
ham,sorry gone mad many pending works,0
spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm,1
ham,hiwhat think match,0
ham,understand loss gain work school,0
ham,anyway seriously hit youre back otherwise light armand always shit andor vomiting,0
ham,told accenture confirm true,0
spam,money wining number wot next,1
ham,perhaps much easy give account identification tomorrow uni,0
spam,bloomberg message center wait apply future bloombergcom,1
ham,place want,0
ham,thank,0
ham,joking seriously told,0
spam,promotion number awarded city break could win summer shopping spree every txt store skilgme tscswinawkage perwksub,1
ham,messageno responcewhat happend,0
ham,wat time finish,0
ham,arent coming home class right need work shower,0
ham,squeeeeeze christmas hug lik frndshp den hug back get cute luvd lucky none people hate,0
ham,takes away money worries,0
ham,part tomorrow,0
ham,hurry home big butt hang last caller food done starving dont ask cooked,0
ham,,0
ham,much getting,0
ham,taste fish curry,0
ham,alright tylers got minor crisis home sooner thought asap,0
ham,many people seems special first sight remain special till last sight maintain till life ends shjas,0
ham,eatin later eatin wif frens lei going home first,0
ham,yagoing restaurant,0
ham,deleted contact,0
ham,yes reg ciao,0
ham,haha dinner cousin,0
ham,know god created gap fingers one made comes amp fills gaps holding hand love,0
ham,sorry earlier putting firesare around talk actually life lol,0
spam,interflora late order interflora flowers christmas call place order midnight tomorrow,1
ham,pls dont play others life,0
ham,started dont stop pray good ideas anything see help guys ill forward link,0
ham,end might still vomit okay everything come,0
ham,youll get headache trying figure trust math promise,0
spam,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per msg tncs website,1
ham,best exam later,0
ham,watever relation built dis world thing remains atlast lonlines lotz lot memories feeling,0
ham,alrite hunnywot nite didnt end goin town jus pub instead jus chillin bedroomlove jen xxx,0
ham,july,0
ham,kkim going tirunelvali week see uncle already spend amount taking dress want moneyi give feb,0
ham,actually fuck whatever find excuse tampa point january though,0
spam,camera awarded sipix digital camera call fromm landline delivery within days,1
spam,complimentary star ibiza holiday cash needs urgent collection landline lose boxskwpppm,1
ham,hey theres veggie pizza,0
ham,sign maturity start saying big things actually start understanding small things nice evening bslvyl,0
ham,went hon lab one,0
ham,farm open,0
ham,ofcourse also upload songs,0
ham,jus finished avatar nigro,0
ham,dont send plus hows mode,0
ham,remains bro amongst bros,0
ham,heart empty without love mind empty without wisdom eyes empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams,0
ham,hope youve settled new school year wishin day,0
ham,best msg hard person know one step foward make fall love amp one step back ruin friendship good night,0
spam,great news call freefone claim guaranteed cash gift speak live operator,1
spam,freeday sexy georges day pic jordantxt pic dont miss every saucy celeb pics pocketbabecouk,1
ham,went project centre,0
ham,worse uses half way stops better complete,0
ham,also knows lunch menu know,0
ham,free day finish mon thurs,0
ham,buy newspapers already,0
ham,taught ranjith sir called sms like becaus hes verifying project prabu told today dont mistake,0
ham,got looks scrumptious daddy wants eat night long,0
ham,wuld without baby thought alone mite break dont wan crazy everyboy needs lady xxxxxxxx,0
ham,guess ltgt min,0
ham,sweetheart hope kind day one loads reasons smile biola,0
ham,good stuff,0
spam,free msg get gnarls barkleys crazy ringtone totally free reply message right,1
ham,tell bad character dnt lik ill try change ltgt add tat new year resolution waiting replybe frankgood morning,0
ham,flippin shit yet,0
ham,random saw old roomate campus graduated,0
ham,think ive fixed send test message,0
spam,new textbuddy chat horny guys area free receive search postcode gaytextbuddycom txt one name,1
ham,day asked anand number,0
ham,dear sirsalam alaikkumpride pleasure meeting today tea shopwe pleased send contact number qatarrakhesh indianpls save numberrespectful regards,0
spam,want new nokia colour phone deliveredtomorrow free minutes mobile free texts free camcorder reply call,1
ham,hey almost forgot happy bday babe love,0
ham,jolly good way give tickets sat eve speak,0
ham,mostly like,0
ham,aight let know youre gon around usf,0
ham,yavnt tried yet never played original either,0
ham,finally match heading towards draw prediction,0
ham,like personal sized,0
ham,sucks got planned valentine valentine arent,0
ham,car park,0
ham,taxt massagetiepos argh lool,0
ham,gon home soon dont want talk stuff anymore tonight ive cried enough today,0
ham,yeah get unlimited,0
ham,prob,0
ham,sian aft meeting supervisor got work liao working,0
ham,aight text youre back ill swing need somebody get door,0
ham,dnt wnt tlk wid,0
ham,aight dats straight dogg,0
ham,dun believe thk told,0
ham,said right giggle saw would possibly first persondie nvq think much could,0
ham,hows scotland hope showing jjc tendencies take care live dream,0
spam,great new offer double mins double txt best orange tariffs get latest camera phones free call mobileupd free stoptxt tcs,1
ham,lor wat time finish,0
ham,test earlier appreciate call tomorrow,0
ham,give something drink takes doesnt vomit temp might drop unmits however let know,0
ham,today going college able atten class,0
ham,wait chikkuil send aftr ltgt mins,0
ham,plan,0
ham,easy mate guess quick drink bit ambitious,0
ham,sorry ill call later meeting,0
ham,nonenowhere ikno doesdiscountshitinnit,0
ham,omw back tampa west palm hear happened,0
spam,wan win meetgreet westlife currently tour unbreakable untamed unkempt text cost std text,1
ham,different styles,0
ham,know friend already told,0
ham,outside islands head towards hard rock youll run,0
ham,sorry brah finished last exams,0
ham,yes princess want catch big strong hands,0
ham,oic saw tot din found group liao,0
ham,enjoy urself tmr,0
ham,jay says hell put ltgt,0
ham,okay well thanks clarification,0
ham,work den plus lor workin oso rite den orchard lor place liao,0
spam,ripped get mobile content call polytruepixringtonesgames six downloads,1
ham,srsly better tho,0
ham,chile please ltdecimalgt hour drive come time subletting febapril audition season,0
ham,hey sweet wondering moment might come want send file someone wont yahoo connection sucks remember set page download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss,0
ham,hey around ive got enough half ten owe,0
spam,congratulations thanks good friend xmas prize claim easy call per minute btnationalrate,1
spam,received mobile content enjoy,1
ham,way home,0
ham,wow impressed funs shopping,0
ham,unbelievable faglord,0
ham,happy birthday may dreams come true,0
ham,watching cartoon listening music amp eve temple amp church,0
ham,hav almost reached call unable connect,0
ham,yep like pink furniture tho,0
spam,xmas reward waiting computer randomly picked loyal mobile customers receive reward call,1
ham,especially since talk boston personal statement lol woulda changed realized said nyc says boston,0
ham,well imma definitely need restock thanksgiving ill let know,0
ham,aah cuddle would lush need lots tea soup kind fumbling,0
ham,telling abt tht incident,0
ham,evening good somewhat event laden fill dont worry head throat wrecked see six,0
ham,hey whats sleeping morning,0
ham,cramps stopped going back sleep,0
ham,went fast asleep deartake care,0
ham,somewhere beneath pale moon light someone think dreams come true goodnite amp sweet dreams,0
ham,god almost home,0
ham,gloucesterroad uup later,0
spam,dont know dont know send chat lets find pmsg rcvd hgsuitelandsrowwjhl ldn years,1
ham,hello news job making wait fifth week yeah woozles weasels exeter still home,0
ham,yet hadya sapna aunty manege yday hogidhechinnu full weak swalpa black agidhane,0
spam,well done england get official poly ringtone colour flag yer mobile text tone flag optout txt eng stop box wwx,1
spam,someone know asked dating service contact cant guess call revealed pobox sxy,1
ham,onluy matters getting offcampus,0
spam,december mobile mths entitled update latest colour camera mobile free call mobile update vco free,1
ham,glad following dreams,0
ham,okay name price long legal wen pick ave ams,0
ham,pls whats full name jokes school cos fees university florida seem actually ltgt pls holla back,0
ham,huh cant house empty handed right,0
ham,goin workout lor muz lose fats,0
ham,aiyo cos sms neva reply wait reply lar tot havent finish lab wat,0
ham,cool see,0
ham,forwarded message thought send,0
ham,love goes day fuck morning woke dropped cell way stairs seems alright phews miss,0
ham,cool want kappa meet outside,0
ham,ive trying reach without success,0
ham,gumbys special ltgt cheese pizza know doin tonight,0
ham,released vday shirts put makes bottom half naked instead white underwear,0
ham,valentines huh proof page ugh glad really didnt watch rupaul show tool,0
ham,lor buy wat,0
ham,send text well skype later,0
ham,hope youre much fun without see tomorrow love jess,0
ham,yeah dont stand close tho youll catch something,0
ham,thanks lot wishes birthday thanks making birthday truly memorable,0
spam,free tones hope enjoyed new content text stop unsubscribe helpp provided tonesyoucouk,1
ham,great office today,0
ham,turn heater heater set ltgt degrees,0
ham,jot things want remember later,0
ham,pic please resend,0
spam,urgent please call landline abta complimentary tenerife holiday cash await collection sae tcs box cwwx ppm,1
ham,love holiday monday feeling even dentists hour,0
ham,way make sure get train worc foregate street shrub hill fun night,0
ham,ssnervous ltgt,0
ham,sir good morning hope good weekend called let know able raise ltgt dad however said would make rest available mid feb amount still quite short hoping would help good day abiola,0
ham,whatever want know rules talk earlier week start happening showing responsibility yet every week bend rule way way whatever tired thia argument every week ltgt movie doesnt inlude previews youre still getting,0
spam,new mobiles must txt nokia collect today optout gbpmtmsg txtauction,1
ham,neither sterm voice studying fine sure thing resolved tho anyway fab hols,0
ham,arngd marriage walkin unfortuntly snake bites love marriage dancing frnt snake amp sayin bite bite,0
ham,arent next ltgt hours imma flip shit,0
ham,come round,0
ham,congrats thats great wanted tell tell score cos might make relax motivating thanks sharing,0
spam,want latest video handset anytime network mins half price line rental reply call delivery tomorrow,1
ham,finished missing plenty,0
ham,people tour thought sofa thing sent curious sugar,0
ham,yeah ill leave maybe ish,0
ham,well confuses things doesnt,0
spam,free camera phones linerental month cross ntwk mins price txt bundle deals also avble call calloptoutj,1
ham,sister cleared two round birla soft yesterday,0
spam,free week entry textpod chance win ipod cash every txt pod tscs custcare,1
spam,free entry grprizes wkly comp chance win latest nokia psp cash every wktxt great,1
ham,callsmessagesmissed calls,0
ham,yesgauti sehwag odi series,0
ham,yeah probably sure ilol let know personally wuldnt bother goin mite well,0
ham,cant describe lucky actually awake noon,0
ham,sorry dai thought calling lot timeslil busyi call noon,0
ham,predict wat time finish buying,0
ham,hurt prsn close fight wit dem coz somtimes dis fight saves relation quiet leaves nothin relation gud eveb,0
ham,bruce downs amp fletcher,0
ham,drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions,0
ham,somewhere fredericksburg,0
ham,sorry missed call please call back,0
spam,sunshine quiz wkly win top sony dvd player know country liverpool played mid week txt ansr sptyrone,1
ham,nooooooo gon bored death day cable internet outage,0
ham,hey sexy buns told adore loverboy hope remember thank sister law meatballs grins love babe,0
spam,hmv quiz cashbalance currently maximize cashin send hmv pmsg,1
ham,much buzy,0
ham,pls today ltgt dont want excuses,0
ham,dun believe leh tot told true already thk muz tog believe,0
ham,haha hope hear receipt sound luck,0
ham,late tellmiss way,0
ham,sure night menu know noon menu,0
ham,ever green quote ever told jerry cartoon person irritates always one loves vry much fails express gud nyt,0
ham,help ask shes working tmr,0
ham,weird know one point,0
spam,hot live fantasies call per min ntt ltd box croydon national rate call,1
ham,dai send resume,0
ham,good afternoon boytoy goes walking day get police abstract still wake miss babe,0
ham,birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes,0
ham,chikku send nice msgs,0
ham,good baby,0
ham,interested like,0
ham,fine hope also,0
ham,response one powerful weapon occupy place others heart always give response cares gud nightswt dreamstake care,0
ham,annoying isnt,0
ham,get library,0
ham,hey sathya till dint meet even single time saw situation sathya,0
ham,driving even many reasons called bbdthts chikku abt dvg coldheard tht vinobanagar violence conditionand problem,0
spam,auction round highest bid next maximum bid bid send bids bid good luck,1
ham,hiya paying money account thanks got pleasant surprise checked balance dont get statements acc,0
ham,shes fine difficulties phone works mine pls send another friend request,0
ham,lol boo hoping laugh,0
ham,campus library,0
ham,sister law hope great month saying hey abiola,0
ham,gone get info dont know,0
ham,need strong arms,0
ham,buy blackberry bold torch buy new used let know plus saying buy ltgt wifi ipad saying ltgt,0
ham,wot weirdo,0
ham,hii got money,0
ham,come home half hour,0
spam,nokia get win free auction take part send nokia hgsuitelands rowwjhl,1
ham,yeah got apologetic fallen actin like spoilt child got caught till wont badly cheers,0
ham,today,0
ham,todaysundaysunday holidayso work,0
ham,looking forward sex cuddling two sleeps,0
ham,greatest test courage earth bear defeat without losing heartgn,0
ham,old orchard near univ,0
ham,,0
ham,true lov care wil nevr unrecognized though somone often makes mistakes valuing definitly undrstnd start missing,0
ham,kate evening hope see tomorrow bit bloody babyjontet txt back xxx,0
ham,make time tonight whenever cool text whenever youre around,0
ham,got mail dileepthank muchand look forward lots supportvery less contacts hereremember one venugopal mentionedtomorrow latei shall try come till theregoodnight dear,0
ham,careful dont text drive,0
ham,yuou working getting moms find spot would work need,0
ham,sorry never hear unless book one kinda jokethet really looking skinny white girls one lineyou much camera something like theyre casting look,0
ham,well done luv,0
spam,specially selected receive award call lines close cost ppm tcs apply promo,1
ham,dont knw drink milk,0
ham,happy sad one thing past good morning,0
ham,sound like manky scouse boy stevelike travelling bus homewot inmind recreation dis eve,0
ham,sis catching show afternoon watching wan watch today tmr lor,0
spam,reminder downloaded content already paid goto mymoby collect content,1
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,0
ham,captain vijaykanth comedy captain tvhe drunken,0
ham,whats room number wan make sure knocking right door,0
spam,monthly password wap mobsicom use wap phone,1
ham,come online today night,0
ham,yes posted couple pics theres still snow outside waking,0
spam,bored housewives chat date btnational rate pmin landlines,1
ham,tell quite long cos havent finish film yet,0
ham,happen,0
spam,youve tkts euro cup final cash collect call pobox ppm,1
ham,greetings consider excused,0
ham,dear got train seat mine lower seat,0
ham,going esplanade home,0
